TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
h003024,11,여,30,5,1,1,4,3,,4,8,1,2,42,42150,50,50130,42,42210,2,1,3,2,4,4,2,4,서울특별시,제주,나홀로 여행,2023-08-19~2023-08-21,1,2,7,0
h004752,41,여,30,6,1,1,3,3,,3,9,3,2,50,50130,42,42210,30,30200,2,1,1,5,3,4,3,6,경기도,제주,2인 여행(가족 외),2023-08-30~2023-09-02,2,1,5,1
h002854,50,여,30,6,1,1,1,3,,5,,3,3,50,50130,26,26500,42,42830,1,1,3,2,4,2,7,6,제주특별자치도,제주,나홀로 여행,2023-08-06~2023-08-08,1,2,4,0
h006750,50,여,20,5,1,1,3,4,,4,4,3,6,48,48840,26,26500,11,11440,1,4,1,4,2,2,6,4,제주특별자치도,제주,3인 이상 여행(가족 외),2023-09-19~2023-09-19,3,2,,2
h001261,26,여,40,6,1,2,2,3,,3,8,3,2,50,50130,47,47130,11,11170,2,2,1,3,3,3,2,6,부산광역시,제주,2인 여행(가족 외),2023-06-27~2023-06-29,2,9,1,1
h000009,11,남,40,6,1,2,2,3,,5,5,2,1,50,50110,26,26350,42,42150,3,2,3,3,3,5,2,6,서울특별시,제주,2인 가족 여행,2023-05-18~2023-05-20,6,3,2,1
h005181,45,남,30,4,1,1,4,12,,2,8,3,2,41,41280,26,26350,29,29140,6,1,5,2,5,6,2,6,전라북도,제주,2인 여행(가족 외),2023-08-28~2023-08-30,3,7,1,1
h004851,11,여,20,6,1,1,1,4,,4,,3,2,27,27110,50,50130,50,50110,6,1,1,2,2,1,5,6,서울특별시,제주,2인 여행(가족 외),2023-08-23~2023-08-25,2,1,3,1
h001850,28,남,40,6,1,2,3,3,,4,7,2,1,42,42210,26,26350,41,41460,6,2,3,2,3,1,5,7,인천광역시,제주,3대 동반 여행(친척 포함),2023-07-19~2023-07-22,1,7,2,3
h000123,41,여,30,7,1,2,2,2,,4,6,2,1,41,41290,47,47250,50,50130,4,3,2,4,6,5,6,6,경기도,제주,나홀로 여행,2023-06-04~2023-06-07,2,4,1,0
h002125,11,남,30,6,1,1,2,3,,3,6,3,3,50,50110,42,42210,26,26350,2,1,1,4,1,1,1,1,서울특별시,제주,나홀로 여행,2023-07-11~2023-07-13,7,2,4,0
h001443,45,여,30,6,1,1,1,3,,6,,2,1,50,50130,42,42830,26,26350,1,1,3,2,4,3,5,5,전라북도,제주,2인 가족 여행,2023-07-06~2023-07-09,2,3,1,1
h001863,41,여,20,6,1,1,1,13,,4,,2,1,50,50110,29,29170,26,26500,2,2,2,1,4,2,5,5,경기도,제주,2인 여행(가족 외),2023-07-02~2023-07-04,7,3,2,1
h002625,41,여,60,7,1,2,3,11,,1,6,3,2,48,48220,42,42230,50,50110,5,3,4,4,5,4,5,5,경기도,제주,자녀 동반 여행,2023-08-05~2023-08-08,1,3,2,2
h001196,36,여,30,6,2,1,3,12,,2,6,3,3,50,50110,50,50130,42,42150,2,1,1,1,2,2,2,2,세종특별자치시,제주,2인 여행(가족 외),2023-07-04~2023-07-06,2,1,3,1
h005655,41,여,20,6,2,1,4,12,,2,8,3,3,41,41480,42,42210,42,42150,2,2,2,5,3,2,5,3,경기도,제주,2인 여행(가족 외),2023-08-30~2023-09-01,3,4,1,1
h000346,11,여,50,6,1,2,4,2,,6,12,2,1,42,42760,41,41280,50,50130,2,4,3,2,3,3,2,3,서울특별시,제주,자녀 동반 여행,2023-06-02~2023-06-05,1,3,2,3
h006755,50,남,30,6,1,1,1,2,,5,,3,4,42,42830,11,11440,41,41360,3,4,3,5,3,3,3,3,제주특별자치도,제주,2인 여행(가족 외),2023-09-20~2023-09-20,7,1,2,1
h001453,41,남,20,7,2,1,4,4,,4,10,1,1,50,50110,42,42150,44,44150,1,1,1,3,4,2,1,3,경기도,제주,2인 여행(가족 외),2023-07-04~2023-07-08,2,1,3,1
h002396,46,여,20,6,1,1,3,3,,4,4,2,1,26,26710,46,46130,48,48310,3,3,2,3,3,3,3,6,전라남도,제주,2인 여행(가족 외),2023-07-30~2023-08-02,2,3,1,1
h006418,50,여,30,6,1,2,1,3,,3,,1,1,50,50110,50,50130,26,26500,4,4,1,3,4,4,5,5,제주특별자치도,제주,나홀로 여행,2023-09-16~2023-09-16,1,2,5,0
h001662,11,여,20,6,1,1,1,12,,3,,3,6,50,50110,50,50130,26,26350,2,2,2,4,6,3,6,4,서울특별시,제주,2인 여행(가족 외),2023-06-29~2023-07-03,2,1,7,1
h005461,28,여,20,6,1,1,3,13,,2,5,2,2,41,41480,50,50110,11,11110,4,6,4,4,3,4,5,5,인천광역시,제주,2인 여행(가족 외),2023-08-28~2023-08-31,2,1,3,1
h000620,11,남,20,6,2,1,1,12,,2,,3,4,50,50110,26,26350,41,41450,2,2,1,4,5,2,3,5,서울특별시,제주,3인 이상 여행(가족 외),2023-06-17~2023-06-20,2,1,7,3
h002726,44,여,50,7,1,2,4,2,,9,12,3,5,11,11680,50,50110,41,41460,4,2,1,1,6,6,1,6,충청남도,제주,자녀 동반 여행,2023-08-05~2023-08-08,1,2,3,4
